#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
-,Tim Krul,Portero,35,03/04/1988,"1,93",izquierdo,15,-,04/06/2011,1000000,Países Bajos
1,Remko Pasveer,Portero,39,08/11/1983,"1,87",derecho,2,-,22/09/2022,250000,Países Bajos
3,Matthijs de Ligt,Defensa central,23,12/08/1999,"1,89",derecho,38,2,25/03/2017,70000000,Países Bajos
4,Virgil van Dijk,Defensa central,31,08/07/1991,"1,93",derecho,49,6,10/10/2015,50000000,Países Bajos
2,Jurrien Timber,Defensa central,22,17/06/2001,"1,82",derecho,10,-,02/06/2021,45000000,Países Bajos
5,Nathan Aké,Defensa central,28,18/02/1995,"1,80",izquierdo,29,3,31/05/2017,30000000,Países Bajos
6,Stefan de Vrij,Defensa central,31,05/02/1992,"1,89",derecho,59,3,15/08/2012,15000000,Países Bajos
-,Jordan Teze,Defensa central,23,30/09/1999,"1,83",derecho,3,-,08/06/2022,7000000,Países Bajos
-,Bruno Martins Indi,Defensa central,31,08/02/1992,"1,85",izquierdo,36,2,15/08/2012,2200000,Países Bajos
24,Tyrell Malacia,Lateral izquierdo,23,17/08/1999,"1,69",izquierdo,6,-,04/09/2021,22000000,Países Bajos
17,Daley Blind,Lateral izquierdo,33,09/03/1990,"1,80",izquierdo,94,2,06/02/2013,6000000,Países Bajos
-,Hans Hateboer,Lateral derecho,29,09/01/1994,"1,85",derecho,13,-,23/03/2018,10000000,Países Bajos
-,Devyne Rensch,Lateral derecho,20,18/01/2003,"1,79",ambidiestro,1,-,07/09/2021,8000000,Países Bajos
20,Teun Koopmeiners,Pivote,25,28/02/1998,"1,83",izquierdo,10,1,07/10/2020,30000000,Países Bajos
15,Marten de Roon,Pivote,32,29/03/1991,"1,85",derecho,30,-,13/11/2016,12000000,Países Bajos
-,Jerdy Schouten,Pivote,26,12/01/1997,"1,85",derecho,1,-,08/06/2022,8500000,Países Bajos
21,Frenkie de Jong,Mediocentro,26,12/05/1997,"1,80",derecho,45,1,06/09/2018,50000000,Países Bajos
-,Ryan Gravenberch,Mediocentro,21,16/05/2002,"1,90",derecho,11,1,24/03/2021,30000000,Países Bajos
18,Kenneth Taylor,Mediocentro,21,16/05/2002,"1,82",ambidiestro,2,-,22/09/2022,14000000,Países Bajos
22,Denzel Dumfries,Interior derecho,27,18/04/1996,"1,88",derecho,37,5,13/10/2018,28000000,Países Bajos
11,Steven Berghuis,Mediocentro ofensivo,31,19/12/1991,"1,82",izquierdo,39,2,27/05/2016,14000000,Países Bajos
14,Davy Klaassen,Mediocentro ofensivo,30,21/02/1993,"1,79",derecho,35,9,05/03/2014,12000000,Países Bajos
-,Guus Til,Mediocentro ofensivo,25,22/12/1997,"1,86",derecho,5,1,26/03/2018,7500000,Países Bajos
8,Cody Gakpo,Extremo izquierdo,24,07/05/1999,"1,89",derecho,9,3,21/06/2021,45000000,Países Bajos
7,Steven Bergwijn,Extremo izquierdo,25,08/10/1997,"1,78",derecho,24,7,13/10/2018,27000000,Países Bajos
12,Noa Lang,Extremo izquierdo,24,17/06/1999,"1,73",derecho,5,1,08/10/2021,15000000,Países Bajos
10,Memphis Depay,Delantero centro,29,13/02/1994,"1,76",derecho,81,42,15/10/2013,20000000,Países Bajos
-,Brian Brobbey,Delantero centro,21,01/02/2002,"1,80",derecho,-,-,-,14000000,Países Bajos
19,Wout Weghorst,Delantero centro,30,07/08/1992,"1,97",derecho,15,3,23/03/2018,14000000,Países Bajos
16,Vincent Janssen,Delantero centro,29,15/06/1994,"1,84",izquierdo,20,7,25/03/2016,6000000,Países Bajos
23,Sergio Rochet,Portero,30,23/03/1993,"1,90",derecho,8,-,28/01/2022,3000000,Uruguay
1,Fernando Muslera,Portero,37,16/06/1986,"1,90",derecho,133,-,11/10/2009,1700000,Uruguay
12,Sebastián Sosa,Portero,36,19/08/1986,"1,81",derecho,1,-,11/06/2022,800000,Uruguay
4,Ronald Araújo,Defensa central,24,07/03/1999,"1,88",derecho,12,-,13/10/2020,60000000,Uruguay
-,Agustín Rogel,Defensa central,25,17/10/1997,"1,91",derecho,1,-,23/09/2022,4500000,Uruguay
-,Sebastián Cáceres,Defensa central,23,18/08/1999,"1,80",derecho,2,-,23/09/2022,4000000,Uruguay
-,Leandro Cabrera,Defensa central,32,17/06/1991,"1,90",izquierdo,-,-,-,3500000,Uruguay
22,Martín Cáceres,Defensa central,36,07/04/1987,"1,80",derecho,115,4,12/09/2007,500000,Uruguay
16,Mathías Olivera,Lateral izquierdo,25,31/10/1997,"1,85",izquierdo,8,-,28/01/2022,15000000,Uruguay
17,Matías Viña,Lateral izquierdo,25,09/11/1997,"1,80",izquierdo,26,-,07/09/2019,6000000,Uruguay
20,Guillermo Varela,Lateral derecho,30,24/03/1993,"1,73",derecho,9,-,10/11/2017,2500000,Uruguay
-,Damián Suárez,Lateral derecho,35,27/04/1988,"1,73",derecho,7,-,28/01/2022,1500000,Uruguay
25,Manuel Ugarte,Pivote,22,11/04/2001,"1,82",derecho,6,-,06/09/2021,18000000,Uruguay
14,Lucas Torreira,Pivote,27,11/02/1996,"1,66",derecho,40,-,23/03/2018,15000000,Uruguay
15,Federico Valverde,Mediocentro,24,22/07/1998,"1,82",derecho,44,4,06/09/2017,100000000,Uruguay
6,Rodrigo Bentancur,Mediocentro,26,25/06/1997,"1,87",derecho,51,1,05/10/2017,40000000,Uruguay
7,Nicolás de la Cruz,Mediocentro,26,01/06/1997,"1,67",derecho,17,2,09/10/2020,13000000,Uruguay
5,Matías Vecino,Mediocentro,31,24/08/1991,"1,87",derecho,62,4,26/03/2016,4500000,Uruguay
10,Giorgian de Arrascaeta,Mediocentro ofensivo,29,01/06/1994,"1,74",derecho,40,8,08/09/2014,18000000,Uruguay
-,Diego Rossi,Extremo izquierdo,25,05/03/1998,"1,70",derecho,4,1,30/03/2022,14000000,Uruguay
24,Agustín Canobbio,Extremo derecho,24,01/10/1998,"1,75",derecho,3,-,28/01/2022,4000000,Uruguay
8,Facundo Pellistri,Extremo derecho,21,20/12/2001,"1,74",derecho,7,-,28/01/2022,3000000,Uruguay
-,Brian Ocampo,Extremo derecho,24,25/06/1999,"1,72",derecho,1,-,19/06/2021,2000000,Uruguay
11,Darwin Núñez,Delantero centro,24,24/06/1999,"1,87",derecho,13,3,16/10/2019,70000000,Uruguay
-,Martín Satriano,Delantero centro,22,20/02/2001,"1,87",derecho,1,-,27/09/2022,8000000,Uruguay
9,Luis Suárez,Delantero centro,36,24/01/1987,"1,82",derecho,134,68,07/02/2007,8000000,Uruguay
1,Dominik Livakovic,Portero,28,09/01/1995,"1,88",derecho,33,-,11/01/2017,8500000,Croacia
23,Ivica Ivusic,Portero,28,01/02/1995,"1,95",derecho,5,-,04/09/2021,5000000,Croacia
-,Nediljko Labrovic,Portero,23,10/10/1999,"1,96",derecho,-,-,-,2000000,Croacia
-,Lovre Kalinic,Portero,33,03/04/1990,"2,01",izquierdo,19,-,12/11/2014,1500000,Croacia
20,Josko Gvardiol,Defensa central,21,23/01/2002,"1,85",izquierdo,12,1,06/06/2021,60000000,Croacia
25,Josip Sutalo,Defensa central,23,28/02/2000,"1,88",derecho,3,-,10/06/2022,18000000,Croacia
-,Duje Caleta-Car,Defensa central,26,17/09/1996,"1,92",derecho,23,1,03/06/2018,14000000,Croacia
-,Marin Pongracic,Defensa central,25,11/09/1997,"1,93",derecho,5,-,11/11/2020,6000000,Croacia
5,Martin Erlic,Defensa central,25,24/01/1998,"1,93",derecho,3,-,06/06/2022,5500000,Croacia
6,Dejan Lovren,Defensa central,33,05/07/1989,"1,88",derecho,71,5,08/10/2009,4500000,Croacia
21,Domagoj Vida,Defensa central,34,29/04/1989,"1,84",derecho,99,4,23/05/2010,2000000,Croacia
19,Borna Sosa,Lateral izquierdo,25,21/01/1998,"1,87",izquierdo,8,1,01/09/2021,20000000,Croacia
3,Borna Barisic,Lateral izquierdo,30,10/11/1992,"1,86",izquierdo,27,1,11/01/2017,6000000,Croacia
2,Josip Stanisic,Lateral derecho,23,02/04/2000,"1,87",ambidiestro,6,-,08/10/2021,8000000,Croacia
22,Josip Juranovic,Lateral derecho,27,16/08/1995,"1,73",derecho,21,-,14/01/2017,7000000,Croacia
-,Sime Vrsaljko,Lateral derecho,31,10/01/1992,"1,81",derecho,52,-,09/02/2011,4000000,Croacia
11,Marcelo Brozovic,Pivote,30,16/11/1992,"1,81",ambidiestro,76,7,06/06/2014,35000000,Croacia
26,Kristijan Jakic,Pivote,26,14/05/1997,"1,81",derecho,4,-,08/10/2021,9000000,Croacia
8,Mateo Kovacic,Mediocentro,29,06/05/1994,"1,76",derecho,83,3,22/03/2013,40000000,Croacia
24,Luka Sucic,Mediocentro,20,08/09/2002,"1,85",izquierdo,3,-,11/10/2021,20000000,Croacia
10,Luka Modric,Mediocentro,37,09/09/1985,"1,72",ambidiestro,154,23,01/03/2006,10000000,Croacia
4,Ivan Perisic,Interior izquierdo,34,02/02/1989,"1,86",ambidiestro,115,32,26/03/2011,10000000,Croacia
15,Mario Pasalic,Mediocentro ofensivo,28,09/02/1995,"1,88",derecho,42,7,04/09/2014,25000000,Croacia
7,Lovro Majer,Mediocentro ofensivo,25,17/01/1998,"1,78",izquierdo,10,3,27/05/2017,22000000,Croacia
13,Nikola Vlasic,Mediocentro ofensivo,25,04/10/1997,"1,78",derecho,41,7,28/05/2017,20000000,Croacia
-,Luka Ivanusec,Mediocentro ofensivo,24,26/11/1998,"1,75",derecho,11,1,11/01/2017,10000000,Croacia
18,Mislav Orsic,Extremo izquierdo,30,29/12/1992,"1,79",ambidiestro,20,1,09/09/2019,10000000,Croacia
-,Josip Brekalo,Extremo izquierdo,25,23/06/1998,"1,75",derecho,33,4,15/11/2018,7500000,Croacia
9,Andrej Kramaric,Delantero centro,32,19/06/1991,"1,77",derecho,73,19,04/09/2014,9000000,Croacia
14,Marko Livaja,Delantero centro,29,26/08/1993,"1,84",derecho,14,3,06/09/2018,8000000,Croacia
16,Bruno Petkovic,Delantero centro,28,16/09/1994,"1,93",derecho,22,6,21/03/2019,6000000,Croacia
17,Ante Budimir,Delantero centro,31,22/07/1991,"1,90",izquierdo,15,1,07/10/2020,6000000,Croacia
-,Oliver Christensen,Portero,24,22/03/1999,"1,90",derecho,1,-,11/11/2020,4500000,Dinamarca
-,Frederik Rönnow,Portero,30,04/08/1992,"1,88",derecho,8,-,31/08/2016,3500000,Dinamarca
-,Kasper Schmeichel,Portero,36,05/11/1986,"1,89",derecho,86,-,06/02/2013,2500000,Dinamarca
-,Daniel Iversen,Portero,25,19/07/1997,"1,91",,-,-,-,2000000,Dinamarca
-,Peter Vindahl,Portero,25,16/02/1998,"1,95",derecho,-,-,-,650000,Dinamarca
-,Joachim Andersen,Defensa central,27,31/05/1996,"1,92",derecho,19,-,15/10/2019,32000000,Dinamarca
-,Andreas Christensen,Defensa central,27,10/04/1996,"1,87",derecho,59,2,08/06/2015,30000000,Dinamarca
-,Victor Nelsson,Defensa central,24,14/10/1998,"1,85",derecho,7,-,11/11/2020,14000000,Dinamarca
-,Jannik Vestergaard,Defensa central,30,03/08/1992,"1,99",ambidiestro,35,2,14/08/2013,7000000,Dinamarca
-,Simon Kjaer,Defensa central,34,26/03/1989,"1,91",derecho,121,5,06/06/2009,5000000,Dinamarca
-,Nicolai Boilesen,Defensa central,31,16/02/1992,"1,86",izquierdo,22,1,10/08/2011,1000000,Dinamarca
-,Joakim Maehle,Lateral izquierdo,26,20/05/1997,"1,85",derecho,31,9,05/09/2020,14000000,Dinamarca
-,Rasmus Kristensen,Lateral derecho,25,11/07/1997,"1,87",derecho,10,-,04/09/2021,15000000,Dinamarca
-,Alexander Bah,Lateral derecho,25,09/12/1997,"1,83",derecho,4,1,11/11/2020,8000000,Dinamarca
-,Jens Stryger Larsen,Lateral derecho,32,21/02/1991,"1,80",ambidiestro,49,3,31/08/2016,2000000,Dinamarca
-,Morten Hjulmand,Pivote,24,25/06/1999,"1,85",derecho,-,-,-,8000000,Dinamarca
-,Pierre-Emile Höjbjerg,Mediocentro,27,05/08/1995,"1,85",derecho,60,5,28/05/2014,45000000,Dinamarca
