#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
18,Nicolas Jackson,Extremo derecho,22,20/06/2001,"1,88",derecho,-,-,-,15000000,Senegal
15,Krépin Diatta,Extremo derecho,24,25/02/1999,"1,75",derecho,26,2,23/03/2019,13000000,Senegal
-,Demba Seck,Extremo derecho,22,10/02/2001,"1,90",izquierdo,1,-,24/09/2022,3000000,Senegal
9,Boulaye Dia,Delantero centro,26,16/11/1996,"1,80",derecho,19,2,09/10/2020,12000000,Senegal
20,Bamba Dieng,Delantero centro,23,23/03/2000,"1,78",derecho,13,1,09/10/2021,8000000,Senegal
1,Wojciech Szczesny,Portero,33,18/04/1990,"1,96",derecho,66,-,18/11/2009,13000000,Polonia
22,Bartlomiej Dragowski,Portero,25,19/08/1997,"1,91",derecho,2,-,07/10/2020,4500000,Polonia
-,Kamil Grabara,Portero,24,08/01/1999,"1,95",derecho,1,-,01/06/2022,4000000,Polonia
12,Lukasz Skorupski,Portero,32,05/05/1991,"1,87",derecho,7,-,14/12/2012,3000000,Polonia
5,Jan Bednarek,Defensa central,27,12/04/1996,"1,89",derecho,44,1,04/09/2017,18000000,Polonia
3,Jakub Kiwior,Defensa central,23,15/02/2000,"1,89",izquierdo,4,-,11/06/2022,6000000,Polonia
6,Mateusz Wieteska,Defensa central,26,11/02/1997,"1,87",derecho,1,-,14/06/2022,3000000,Polonia
-,Marcin Kaminski,Defensa central,31,15/01/1992,"1,92",izquierdo,7,-,16/12/2011,1000000,Polonia
15,Kamil Glik,Defensa central,35,03/02/1988,"1,90",derecho,98,6,20/01/2010,800000,Polonia
-,Tymoteusz Puchacz,Lateral izquierdo,24,23/01/1999,"1,80",izquierdo,12,-,01/06/2021,1500000,Polonia
-,Kamil Pestka,Lateral izquierdo,24,22/08/1998,"1,89",izquierdo,-,-,-,900000,Polonia
2,Matty Cash,Lateral derecho,25,07/08/1997,"1,85",derecho,7,1,12/11/2021,22000000,Polonia
-,Tomasz Kedziora,Lateral derecho,29,11/06/1994,"1,84",derecho,26,1,13/11/2017,4500000,Polonia
4,Robert Gumny,Lateral derecho,25,04/06/1998,"1,82",derecho,4,-,11/11/2020,3500000,Polonia
18,Bartosz Bereszynski,Lateral derecho,30,12/07/1992,"1,83",derecho,45,-,04/06/2013,3000000,Polonia
10,Grzegorz Krychowiak,Pivote,33,29/01/1990,"1,87",derecho,93,5,14/12/2008,8000000,Polonia
-,Jakub Piotrowski,Pivote,25,04/10/1997,"1,88",derecho,-,-,-,1300000,Polonia
-,Jacek Goralski,Pivote,30,21/09/1992,"1,72",derecho,21,1,14/11/2016,1000000,Polonia
13,Szymon Zurkowski,Mediocentro,25,25/09/1997,"1,85",derecho,6,-,24/03/2022,5800000,Polonia
-,Karol Linetty,Mediocentro,28,02/02/1995,"1,76",derecho,42,5,18/01/2014,3500000,Polonia
-,Mateusz Klich,Mediocentro,33,13/06/1990,"1,83",derecho,41,2,05/06/2011,2000000,Polonia
8,Damian Szymanski,Mediocentro,28,16/06/1995,"1,85",derecho,8,1,07/09/2018,2000000,Polonia
-,Mateusz Legowski,Mediocentro,20,29/01/2003,"1,81",derecho,1,-,22/09/2022,1500000,Polonia
14,Przemyslaw Frankowski,Interior derecho,28,12/04/1995,"1,75",derecho,25,1,23/03/2018,7000000,Polonia
21,Nicola Zalewski,Interior izquierdo,21,23/01/2002,"1,75",ambidiestro,7,-,05/09/2021,15000000,Polonia
20,Piotr Zielinski,Mediocentro ofensivo,29,20/05/1994,"1,80",ambidiestro,74,9,04/06/2013,40000000,Polonia
19,Sebastian Szymanski,Mediocentro ofensivo,24,10/05/1999,"1,74",izquierdo,17,1,09/09/2019,14000000,Polonia
17,Jakub Kaminski,Extremo izquierdo,21,05/06/2002,"1,79",derecho,3,1,05/09/2021,10000000,Polonia
-,Przemyslaw Placheta,Extremo izquierdo,25,23/03/1998,"1,78",izquierdo,7,-,11/11/2020,2000000,Polonia
11,Kamil Grosicki,Extremo izquierdo,35,08/06/1988,"1,80",derecho,86,17,02/02/2008,600000,Polonia
24,Michal Skoras,Extremo derecho,23,15/02/2000,"1,72",derecho,1,-,22/09/2022,2500000,Polonia
-,Konrad Michalak,Extremo derecho,25,19/09/1997,"1,76",derecho,-,-,-,1700000,Polonia
9,Robert Lewandowski,Delantero centro,34,21/08/1988,"1,85",derecho,134,76,10/09/2008,45000000,Polonia
23,Krzysztof Piatek,Delantero centro,27,01/07/1995,"1,83",derecho,24,10,11/09/2018,11000000,Polonia
7,Arkadiusz Milik,Delantero centro,29,28/02/1994,"1,86",izquierdo,63,16,12/10/2012,10000000,Polonia
-,Adam Buksa,Delantero centro,26,12/07/1996,"1,93",izquierdo,9,5,02/09/2021,7000000,Polonia
16,Karol Swiderski,Delantero centro,26,23/01/1997,"1,84",izquierdo,17,8,28/03/2021,5000000,Polonia
-,Bono,Portero,32,05/04/1991,"1,92",izquierdo,45,-,14/08/2013,15000000,Marruecos
-,Ahmed Reda Tagnaouti,Portero,27,05/04/1996,"1,92",derecho,3,-,10/10/2017,1800000,Marruecos
-,Munir,Portero,34,10/05/1989,"1,90",derecho,43,-,28/03/2015,1500000,Marruecos
-,Anas Zniti,Portero,34,28/10/1988,"1,82",derecho,19,-,08/01/2013,1200000,Marruecos
-,Romain Saïss,Defensa central,33,26/03/1990,"1,88",izquierdo,65,1,14/11/2012,6500000,Marruecos
-,Achraf Dari,Defensa central,24,06/05/1999,"1,88",derecho,4,-,07/12/2021,2500000,Marruecos
-,Samy Mmaee,Defensa central,26,08/09/1996,"1,88",derecho,10,-,09/10/2020,1700000,Marruecos
-,Jawad El Yamiq,Defensa central,31,29/02/1992,"1,93",derecho,18,2,16/01/2016,1200000,Marruecos
-,Badr Benoun,Defensa central,29,30/09/1993,"1,93",derecho,15,5,07/10/2017,1000000,Marruecos
-,Yahia Attiat-Allah,Lateral izquierdo,28,02/03/1995,"1,76",izquierdo,3,-,29/03/2022,1500000,Marruecos
-,Achraf Hakimi,Lateral derecho,24,04/11/1998,"1,81",derecho,53,8,11/10/2016,65000000,Marruecos
-,Noussair Mazraoui,Lateral derecho,25,14/11/1997,"1,83",derecho,14,2,08/09/2018,25000000,Marruecos
-,Fahd Moufi,Lateral derecho,27,05/05/1996,"1,77",derecho,-,-,-,1500000,Marruecos
-,Sofyan Amrabat,Pivote,26,21/08/1996,"1,85",derecho,38,-,28/03/2017,10000000,Marruecos
-,Yahya Jabrane,Pivote,32,18/06/1991,"1,87",derecho,16,2,21/01/2018,1900000,Marruecos
-,Azzedine Ounahi,Mediocentro,23,19/04/2000,"1,82",derecho,9,2,10/01/2022,3500000,Marruecos
-,Hakim Ziyech,Mediocentro ofensivo,30,19/03/1993,"1,81",izquierdo,42,17,09/10/2015,17000000,Marruecos
-,Amine Harit,Mediocentro ofensivo,26,18/06/1997,"1,80",derecho,16,-,07/10/2017,14000000,Marruecos
-,Ilias Chair,Mediocentro ofensivo,25,30/10/1997,"1,72",derecho,10,1,08/06/2021,10000000,Marruecos
-,Selim Amallah,Mediocentro ofensivo,26,15/11/1996,"1,86",derecho,23,4,15/11/2019,4500000,Marruecos
-,Abdelhamid Sabiri,Mediocentro ofensivo,26,28/11/1996,"1,86",derecho,2,1,23/09/2022,3000000,Marruecos
-,Younès Belhanda,Mediocentro ofensivo,33,25/02/1990,"1,75",derecho,58,5,17/11/2010,2000000,Marruecos
-,Sofiane Boufal,Extremo izquierdo,29,17/09/1993,"1,75",derecho,31,5,26/03/2016,8000000,Marruecos
-,Ez Abde,Extremo izquierdo,21,17/12/2001,"1,77",derecho,2,-,23/09/2022,8000000,Marruecos
-,Zakaria Aboukhlal,Extremo derecho,23,18/02/2000,"1,79",ambidiestro,13,2,13/11/2020,3500000,Marruecos
-,Youssef En-Nesyri,Delantero centro,26,01/06/1997,"1,92",izquierdo,49,14,31/08/2016,12000000,Marruecos
-,Munir El Haddadi,Delantero centro,27,01/09/1995,"1,75",izquierdo,11,2,26/03/2021,4000000,Marruecos
-,Walid Cheddira,Delantero centro,25,22/01/1998,"1,87",derecho,2,-,23/09/2022,2500000,Marruecos
-,Ryan Mmaee,Delantero centro,25,01/11/1997,"1,85",derecho,12,4,31/08/2016,2200000,Marruecos
-,Carlos Acevedo,Portero,27,19/04/1996,"1,85",derecho,4,-,09/12/2021,5000000,México
-,Luis Malagón,Portero,26,02/03/1997,"1,82",derecho,-,-,-,3500000,México
-,Guillermo Ochoa,Portero,37,13/07/1985,"1,83",derecho,131,-,14/12/2005,1200000,México
-,Rodolfo Cota,Portero,35,03/07/1987,"1,83",derecho,8,-,02/06/2017,1200000,México
-,Alfredo Talavera,Portero,40,18/09/1982,"1,91",derecho,39,-,26/03/2011,800000,México
-,David Ochoa,Portero,22,16/01/2001,"1,88",,-,-,-,600000,México
-,César Montes,Defensa central,26,24/02/1997,"1,95",derecho,29,1,14/07/2017,7000000,México
-,Israel Reyes,Defensa central,23,23/05/2000,"1,79",derecho,3,1,09/12/2021,4500000,México
-,Johan Vásquez,Defensa central,24,22/10/1998,"1,84",izquierdo,6,-,03/10/2019,3600000,México
-,Néstor Araújo,Defensa central,31,29/08/1991,"1,88",derecho,61,3,05/07/2011,3000000,México
-,Héctor Moreno,Defensa central,35,17/01/1988,"1,84",izquierdo,126,5,17/10/2007,1500000,México
-,Julio Domínguez,Defensa central,35,08/11/1987,"1,77",derecho,24,-,23/08/2007,1000000,México
3,Jesús Angulo,Lateral izquierdo,25,30/01/1998,"1,78",izquierdo,11,-,08/09/2018,7000000,México
-,Gerardo Arteaga,Lateral izquierdo,24,07/09/1998,"1,75",izquierdo,17,1,12/09/2018,5000000,México
-,Érick Aguirre,Lateral izquierdo,26,23/02/1997,"1,71",derecho,13,-,12/09/2018,4500000,México
23,Jesús Gallardo,Lateral izquierdo,28,15/08/1994,"1,76",izquierdo,77,-,09/10/2016,3000000,México
14,Mauricio Isais,Lateral izquierdo,22,09/04/2001,"1,86",izquierdo,-,-,-,2500000,México
-,Luis Reyes,Lateral izquierdo,32,03/04/1991,"1,81",izquierdo,9,-,08/02/2017,2300000,México
-,Julián Araujo,Lateral derecho,21,13/08/2001,"1,75",derecho,3,-,09/12/2021,6000000,México
2,Kevin Álvarez,Lateral derecho,24,15/01/1999,"1,76",derecho,7,-,04/07/2021,6000000,México
-,Emilio Lara,Lateral derecho,21,18/05/2002,"1,83",derecho,1,-,01/09/2022,2500000,México
-,Edson Álvarez,Pivote,25,24/10/1997,"1,87",derecho,59,3,08/02/2017,35000000,México
18,Luis Chávez,Pivote,27,15/01/1996,"1,78",izquierdo,7,-,28/04/2022,6500000,México
-,Erik Lira,Pivote,23,08/05/2000,"1,72",derecho,3,-,28/10/2021,3500000,México
-,Carlos Rodríguez,Mediocentro,26,03/01/1997,"1,71",derecho,35,-,23/03/2019,8000000,México
6,Érick Sánchez,Mediocentro,23,27/09/1999,"1,67",derecho,7,1,15/07/2021,8000000,México
-,Érick Gutiérrez,Mediocentro,28,15/06/1995,"1,77",izquierdo,34,1,12/10/2016,7000000,México
7,Luis Romo,Mediocentro,28,05/06/1995,"1,84",derecho,25,1,20/11/2019,6500000,México
-,Fernando Beltrán,Mediocentro,25,08/05/1998,"1,68",derecho,9,-,01/10/2020,5500000,México
-,Orbelín Pineda,Mediocentro,27,24/03/1996,"1,69",derecho,50,6,07/09/2016,4000000,México
-,Héctor Herrera,Mediocentro,33,19/04/1990,"1,80",derecho,101,10,17/10/2012,2800000,México
-,Andrés Guardado,Mediocentro,36,28/09/1986,"1,69",izquierdo,179,28,14/12/2005,1500000,México
-,Sebastián Córdova,Mediocentro ofensivo,26,12/06/1997,"1,74",ambidiestro,14,3,03/10/2019,5000000,México
-,Rodolfo Pizarro,Mediocentro ofensivo,29,15/02/1994,"1,75",derecho,38,5,30/01/2014,3500000,México
-,Marcelo Flores,Mediocentro ofensivo,19,01/10/2003,"1,64",derecho,3,-,09/12/2021,1500000,México
-,Alexis Vega,Extremo izquierdo,25,25/11/1997,"1,73",derecho,21,4,27/03/2019,8000000,México
-,Heriberto Jurado,Extremo izquierdo,18,03/01/2005,"1,73",izquierdo,-,-,-,1000000,México
22,Hirving Lozano,Extremo derecho,27,30/07/1995,"1,75",derecho,59,16,11/02/2016,28000000,México
-,Roberto Alvarado,Extremo derecho,24,07/09/1998,"1,76",izquierdo,31,4,08/09/2018,5000000,México
22,Uriel Antuna,Extremo derecho,25,21/08/1997,"1,74",derecho,35,9,06/06/2019,4000000,México
-,Diego Lainez,Extremo derecho,23,09/06/2000,"1,68",izquierdo,21,3,08/09/2018,2500000,México
-,Raúl Jiménez,Delantero centro,32,05/05/1991,"1,89",derecho,96,29,31/01/2013,12000000,México
9,Santiago Giménez,Delantero centro,22,18/04/2001,"1,83",izquierdo,9,2,28/10/2021,6000000,México
21,Henry Martín,Delantero centro,30,18/11/1992,"1,77",derecho,25,6,05/09/2015,6000000,México
-,Rogelio Funes Mori,Delantero centro,32,05/03/1991,"1,86",derecho,15,5,04/07/2021,3500000,México
-,Eduardo Aguirre,Delantero centro,24,03/08/1998,"1,76",derecho,3,-,28/10/2021,2800000,México
-,Ángel Zaldívar,Delantero centro,29,08/02/1994,"1,78",izquierdo,6,-,07/09/2016,1500000,México
1,Matt Turner,Portero,29,24/06/1994,"1,91",derecho,20.0,-,01/02/2021,5000000,Estados Unidos
25,Sean Johnson,Portero,34,31/05/1989,"1,90",derecho,10.0,-,22/01/2011,1500000,Estados Unidos
18,Ethan Horvath,Portero,28,09/06/1995,"1,95",derecho,8.0,-,07/10/2016,1000000,Estados Unidos
20,Cameron Carter-Vickers,Defensa central,25,31/12/1997,"1,83",derecho,11.0,-,14/11/2017,7000000,Estados Unidos
-,Mark McKenzie,Defensa central,24,25/02/1999,"1,84",derecho,10.0,-,01/02/2020,5000000,Estados Unidos
3,Walker Zimmerman,Defensa central,30,19/05/1993,"1,90",derecho,33.0,3,04/02/2017,3500000,Estados Unidos
-,Erik Palmer-Brown,Defensa central,26,24/04/1997,"1,86",derecho,4.0,-,29/05/2018,3000000,Estados Unidos
15,Aaron Long,Defensa central,30,12/10/1992,"1,86",derecho,29.0,3,17/10/2018,3000000,Estados Unidos
5,Antonee Robinson,Lateral izquierdo,25,08/08/1997,"1,83",izquierdo,29.0,2,29/05/2018,10000000,Estados Unidos
-,Sam Vines,Lateral izquierdo,24,31/05/1999,"1,78",izquierdo,9.0,1,01/02/2020,2200000,Estados Unidos
-,George Bello,Lateral izquierdo,21,22/01/2002,"1,70",izquierdo,7.0,-,31/01/2021,2000000,Estados Unidos
2,Sergiño Dest,Lateral derecho,22,03/11/2000,"1,75",derecho,19.0,2,07/09/2019,16000000,Estados Unidos
26,Joe Scally,Lateral derecho,20,31/12/2002,"1,84",derecho,3.0,-,02/06/2022,12000000,Estados Unidos
-,Reggie Cannon,Lateral derecho,25,11/06/1998,"1,80",derecho,28.0,1,17/10/2018,4000000,Estados Unidos
22,DeAndre Yedlin,Lateral derecho,29,09/07/1993,"1,73",derecho,75.0,-,01/02/2014,2000000,Estados Unidos
4,Tyler Adams,Pivote,24,14/02/1999,"1,75",derecho,32.0,1,14/11/2017,17000000,Estados Unidos
23,Kellyn Acosta,Pivote,27,24/07/1995,"1,77",derecho,53.0,2,31/01/2016,3000000,Estados Unidos
8,Weston McKennie,Mediocentro,24,28/08/1998,"1,81",derecho,37.0,9,14/11/2017,21000000,Estados Unidos
6,Yunus Musah,Mediocentro,20,29/11/2002,"1,78",derecho,19.0,-,12/11/2020,20000000,Estados Unidos
17,Cristian Roldán,Mediocentro,28,03/06/1995,"1,73",,32.0,-,13/07/2017,6000000,Estados Unidos
14,Luca de la Torre,Mediocentro,25,23/05/1998,"1,77",derecho,12.0,-,02/06/2018,2000000,Estados Unidos
-,Johnny,Mediocentro,21,20/09/2001,"1,82",derecho,4.0,-,12/11/2020,1800000,Estados Unidos
7,Giovanni Reyna,Mediocentro ofensivo,20,13/11/2002,"1,85",derecho,14.0,4,12/11/2020,35000000,Estados Unidos
11,Brenden Aaronson,Mediocentro ofensivo,22,22/10/2000,"1,78",derecho,24.0,6,01/02/2020,30000000,Estados Unidos
-,Malik Tillman,Mediocentro ofensivo,21,28/05/2002,"1,87",derecho,4.0,-,02/06/2022,1500000,Estados Unidos
13,Jordan Morris,Extremo izquierdo,28,26/10/1994,"1,81",derecho,49.0,11,18/11/2014,4500000,Estados Unidos
10,Christian Pulisic,Extremo derecho,24,18/09/1998,"1,77",derecho,52.0,21,30/03/2016,38000000,Estados Unidos
-,Paul Arriola,Extremo derecho,28,05/02/1995,"1,67",derecho,48.0,10,22/05/2016,4000000,Estados Unidos
21,Timothy Weah,Delantero centro,23,22/02/2000,"1,83",derecho,25.0,3,28/03/2018,12000000,Estados Unidos
24,Josh Sargent,Delantero centro,23,20/02/2000,"1,85",derecho,20.0,5,29/05/2018,12000000,Estados Unidos
-,Ricardo Pepi,Delantero centro,20,09/01/2003,"1,85",derecho,12.0,3,09/09/2021,9000000,Estados Unidos
9,Jesús Ferreira,Delantero centro,22,24/12/2000,"1,73",,15.0,7,01/02/2020,8000000,Estados Unidos
19,Haji Wright,Delantero centro,25,27/03/1998,"1,93",derecho,3.0,1,02/06/2022,3400000,Estados Unidos
1,Richard Ofori,Portero,29,01/11/1993,"1,90",derecho,25,-,18/10/2015,800000,Ghana
12,Abdul Nurudeen,Portero,24,08/02/1999,"1,89",derecho,2,-,05/01/2022,400000,Ghana
16,Joe Wollacott,Portero,26,08/09/1996,"1,90",,11,-,09/10/2021,300000,Ghana
4,Mohammed Salisu,Defensa central,24,17/04/1999,"1,91",izquierdo,2,-,23/09/2022,18000000,Ghana
18,Daniel Amartey,Defensa central,28,21/12/1994,"1,86",derecho,43,-,19/01/2015,15000000,Ghana
23,Alexander Djiku,Defensa central,28,09/08/1994,"1,82",derecho,18,1,09/10/2020,8000000,Ghana
15,Joseph Aidoo,Defensa central,27,29/09/1995,"1,77",derecho,10,-,26/03/2019,7000000,Ghana
26,Alidu Seidu,Defensa central,23,04/06/2000,"1,73",derecho,3,-,10/06/2022,4500000,Ghana
-,Stephan Ambrosius,Defensa central,24,18/12/1998,"1,83",derecho,-,-,-,1000000,Ghana
14,Gideon Mensah,Lateral izquierdo,24,18/07/1998,"1,78",izquierdo,12,-,14/11/2019,2000000,Ghana
17,Abdul-Rahman Baba,Lateral izquierdo,28,02/07/1994,"1,79",izquierdo,46,1,10/09/2014,1800000,Ghana
2,Tariq Lamptey,Lateral derecho,22,30/09/2000,"1,63",derecho,1,-,23/09/2022,15000000,Ghana
3,Denis Odoi,Lateral derecho,35,27/05/1988,"1,78",derecho,4,-,25/03/2022,600000,Ghana
6,Elisha Owusu,Pivote,25,07/11/1997,"1,82",derecho,2,-,29/03/2022,2500000,Ghana
21,Iddrisu Baba,Mediocentro,27,22/01/1996,"1,82",derecho,20,-,14/11/2019,3000000,Ghana
20,Mohammed Kudus,Mediocentro ofensivo,22,02/08/2000,"1,77",izquierdo,18,5,14/11/2019,15000000,Ghana
8,Daniel-Kofi Kyereh,Mediocentro ofensivo,27,08/03/1996,"1,79",derecho,14,-,03/09/2021,8000000,Ghana
22,Kamaldeen Sulemana,Extremo izquierdo,21,15/02/2002,"1,75",derecho,12,-,09/10/2020,18000000,Ghana
10,André Ayew,Extremo izquierdo,33,17/12/1989,"1,76",izquierdo,107,23,21/08/2007,2200000,Ghana
28,Daniel Afriyie,Extremo izquierdo,22,26/06/2001,"1,76",,2,-,10/06/2022,150000,Ghana
11,Osman Bukari,Extremo derecho,24,13/12/1998,"1,70",ambidiestro,7,1,25/03/2021,5000000,Ghana
7,Issahaku Fatawu,Extremo derecho,19,08/03/2004,"1,77",izquierdo,13,1,09/10/2021,3000000,Ghana
-,Ransford-Yeboah Königsdörffer,Extremo derecho,21,13/09/2001,"1,83",derecho,1,-,27/09/2022,2000000,Ghana
19,Iñaki Williams,Delantero centro,29,15/06/1994,"1,86",derecho,2,-,23/09/2022,25000000,Ghana
9,Jordan Ayew,Delantero centro,31,11/09/1991,"1,82",derecho,83,19,05/09/2010,6000000,Ghana
-,Felix Afena-Gyan,Delantero centro,20,19/01/2003,"1,75",derecho,7,1,25/03/2022,5500000,Ghana
27,Antoine Semenyo,Delantero centro,23,07/01/2000,"1,85",ambidiestro,3,-,01/06/2022,3000000,Ghana
21,Gregor Kobel,Portero,25,06/12/1997,"1,94",derecho,3,-,01/09/2021,25000000,Suiza
12,Jonas Omlin,Portero,29,10/01/1994,"1,90",derecho,4,-,07/10/2020,7000000,Suiza
1,Yann Sommer,Portero,34,17/12/1988,"1,83",derecho,76,-,30/05/2012,5000000,Suiza
-,Yvon Mvogo,Portero,29,06/06/1994,"1,89",derecho,4,-,15/10/2018,3500000,Suiza
-,David von Ballmoos,Portero,28,30/12/1994,"1,92",derecho,-,-,-,2500000,Suiza
5,Manuel Akanji,Defensa central,27,19/07/1995,"1,88",derecho,42,1,09/06/2017,30000000,Suiza
4,Nico Elvedi,Defensa central,26,30/09/1996,"1,89",derecho,40,1,28/05/2016,20000000,Suiza
22,Fabian Schär,Defensa central,31,20/12/1991,"1,86",derecho,72,8,14/08/2013,10000000,Suiza
-,Leonidas Stergiou,Defensa central,21,03/03/2002,"1,81",derecho,1,-,12/06/2022,4500000,Suiza
18,Eray Cömert,Defensa central,25,04/02/1998,"1,83",derecho,9,-,18/11/2019,4000000,Suiza
13,Ricardo Rodríguez,Defensa central,30,25/08/1992,"1,80",izquierdo,100,9,07/10/2011,3500000,Suiza
-,Kevin Mbabu,Lateral derecho,28,19/04/1995,"1,84",derecho,22,-,08/09/2018,7000000,Suiza
-,Jordan Lotomba,Lateral derecho,24,29/09/1998,"1,77",derecho,7,1,07/10/2020,6000000,Suiza
3,Silvan Widmer,Lateral derecho,30,05/03/1993,"1,83",derecho,33,2,14/10/2014,5000000,Suiza
6,Denis Zakaria,Pivote,26,20/11/1996,"1,91",derecho,42,3,28/05/2016,20000000,Suiza
26,Ardon Jashari,Pivote,20,30/07/2002,"1,81",izquierdo,1,-,27/09/2022,2500000,Suiza
20,Fabian Frei,Pivote,34,08/01/1989,"1,83",derecho,22,3,07/10/2011,500000,Suiza
10,Granit Xhaka,Mediocentro,30,27/09/1992,"1,86",izquierdo,106,12,04/06/2011,28000000,Suiza
15,Djibril Sow,Mediocentro,26,06/02/1997,"1,84",derecho,32,-,08/09/2018,22000000,Suiza
8,Remo Freuler,Mediocentro,31,15/04/1992,"1,80",derecho,48,5,25/03/2017,13000000,Suiza
14,Michel Aebischer,Mediocentro,26,06/01/1997,"1,83",derecho,11,-,18/11/2019,3500000,Suiza
-,Mattia Bottani,Mediocentro ofensivo,32,24/05/1991,"1,70",derecho,1,-,05/06/2022,500000,Suiza
17,Rubén Vargas,Extremo izquierdo,24,05/08/1998,"1,79",derecho,26,4,08/09/2019,6000000,Suiza
-,Steven Zuber,Extremo izquierdo,31,17/08/1991,"1,82",derecho,51,10,25/03/2017,2500000,Suiza
23,Xherdan Shaqiri,Extremo derecho,31,10/10/1991,"1,69",izquierdo,108,26,03/03/2010,4000000,Suiza
-,Dan Ndoye,Extremo derecho,22,25/10/2000,"1,84",derecho,1,-,24/09/2022,3500000,Suiza
11,Renato Steffen,Extremo derecho,31,03/11/1991,"1,70",izquierdo,27,1,09/10/2015,1000000,Suiza
19,Noah Okafor,Delantero centro,23,24/05/2000,"1,85",derecho,8,2,09/06/2019,25000000,Suiza
7,Breel Embolo,Delantero centro,26,14/02/1997,"1,87",derecho,58,11,31/03/2015,20000000,Suiza
9,Haris Seferovic,Delantero centro,31,22/02/1992,"1,89",izquierdo,88,25,06/02/2013,6000000,Suiza
-,Zeki Amdouni,Delantero centro,22,04/12/2000,"1,85",,1,-,27/09/2022,2500000,Suiza
-,Cedric Itten,Delantero centro,26,27/12/1996,"1,89",derecho,7,4,15/11/2019,2000000,Suiza
-,Mario Gavranovic,Delantero centro,33,24/11/1989,"1,75",derecho,41,16,26/03/2011,1200000,Suiza
16,Maxime Crépeau,Portero,29,11/05/1994,"1,85",derecho,15,-,06/02/2016,3000000,Canadá
-,Milan Borjan,Portero,35,23/10/1987,"1,96",derecho,67,-,09/02/2011,1500000,Canadá
1,Dayne St. Clair,Portero,26,09/05/1997,"1,91",izquierdo,1,-,06/06/2021,1500000,Canadá
4,Kamal Miller,Defensa central,26,16/05/1997,"1,83",izquierdo,27,-,24/06/2019,4000000,Canadá
24,Joel Waterman,Defensa central,27,24/01/1996,"1,88",,-,-,-,2000000,Canadá
-,Derek Cornelius,Defensa central,25,25/11/1997,"1,87",ambidiestro,14,-,09/09/2018,800000,Canadá
-,Scott Kennedy,Defensa central,26,31/03/1997,"1,93",izquierdo,8,-,09/06/2021,600000,Canadá
-,Doneil Henry,Defensa central,30,20/04/1993,"1,88",derecho,-,-,-,500000,Canadá
-,Steven Vitória,Defensa central,36,11/01/1987,"1,95",derecho,34,3,06/02/2016,100000,Canadá
-,Alphonso Davies,Lateral izquierdo,22,02/11/2000,"1,85",izquierdo,34,12,14/06/2017,70000000,Canadá
-,Sam Adekugbe,Lateral izquierdo,28,16/01/1995,"1,76",izquierdo,33,1,09/09/2015,2000000,Canadá
-,Raheem Edwards,Lateral izquierdo,27,17/07/1995,"1,72",izquierdo,4,-,14/06/2017,1000000,Canadá
2,Alistair Johnston,Lateral derecho,24,08/10/1998,"1,80",,28,1,26/03/2021,6000000,Canadá
22,Richie Laryea,Lateral derecho,28,07/01/1995,"1,75",derecho,32,1,08/09/2019,2500000,Canadá
6,Samuel Piette,Pivote,28,12/11/1994,"1,71",derecho,64,-,04/06/2012,2500000,Canadá
-,Atiba Hutchinson,Pivote,40,08/02/1983,"1,87",derecho,97,9,18/01/2003,200000,Canadá
-,Stephen Eustaquio,Mediocentro,26,21/12/1996,"1,77",derecho,26,3,16/11/2019,8000000,Canadá
8,Ismaël Koné,Mediocentro,21,16/06/2002,"1,88",,4,-,25/03/2022,6000000,Canadá
14,Mark-Anthony Kaye,Mediocentro,28,02/12/1994,"1,85",izquierdo,36,2,14/06/2017,3000000,Canadá
-,Liam Millar,Extremo izquierdo,23,27/09/1999,"1,81",derecho,16,-,24/03/2018,2300000,Canadá
-,Luca Koleosho,Extremo izquierdo,18,15/09/2004,"1,75",derecho,-,-,-,1000000,Canadá
-,Junior Hoilett,Extremo izquierdo,33,05/06/1990,"1,74",derecho,49,14,13/10/2015,800000,Canadá
-,Tajon Buchanan,Extremo derecho,24,08/02/1999,"1,83",derecho,25,4,06/06/2021,12000000,Canadá
-,Theo Corbeanu,Extremo derecho,21,17/05/2002,"1,90",izquierdo,7,2,26/03/2021,1500000,Canadá
-,Jonathan David,Delantero centro,23,14/01/2000,"1,77",ambidiestro,34,22,09/09/2018,45000000,Canadá
-,Cyle Larin,Delantero centro,28,17/04/1995,"1,88",derecho,54,25,23/05/2014,6000000,Canadá
-,Iké Ugbo,Delantero centro,24,21/09/1998,"1,84",derecho,8,-,13/11/2021,4000000,Canadá
9,Lucas Cavallini,Delantero centro,30,28/12/1992,"1,82",izquierdo,32,17,16/08/2012,2000000,Canadá
-,Charles-Andreas Brym,Delantero centro,24,08/08/1998,"1,85",izquierdo,7,1,08/01/2020,325000,Canadá
12.0,Bum-keun Song,Portero,25,15/10/1997,"1,94",derecho,1,-,24/07/2022,950000,Corea del Sur
1.0,Seung-gyu Kim,Portero,32,30/09/1990,"1,87",derecho,66,-,14/08/2013,750000,Corea del Sur
21.0,Dong-jun Kim,Portero,28,19/12/1994,"1,89",,1,-,20/07/2022,550000,Corea del Sur
4.0,Min-jae Kim,Defensa central,26,15/11/1996,"1,90",derecho,44,3,31/08/2017,35000000,Corea del Sur
