TIPO DE PARTIDO,CAT 1,CAT 2,CAT 3,RESIDENTES
Inaugural,618,440,300,55
Fase de grupos,220,165,69,11
Octavos de final,275,206,96,20
Cuartos de final,425,290,206,82
Semifinales,955,660,357,137
Tercer puesto,425,302,206,82
Final,1600,1000,605,206
