FECHA,PARTIDOS,HORA LOCAL,SEDE
24/11,Portugal - Ghana,19:00,Estadio 974
24/11,Uruguay - Corea del Sur,16:00,Estadio Ciudad de la Educación
28/11,Portugal - Uruguay,22:00,Estadio Icónico de Lusail
28/11,Ghana - Corea del Sur,16:00,Estadio Ciudad de la Educación
2/12,Portugal - Corea del Sur,18:00,Estadio Ciudad de la Educación
2/12,Ghana - Uruguay,18:00,Estadio Al Janoub
