FECHA,PARTIDOS,HORA LOCAL,SEDE
22/11,Francia - Australia,22:00,Estadio Al Janoub
22/11,Dinamarca - Túnez,16:00,Estadio Ciudad de la Educación
26/11,Francia - Dinamarca,19:00,Estadio 974
26/11,Australia - Túnez,13:00,Estadio Al Janoub
30/11,Francia - Túnez,18:00,Estadio Ciudad de la Educación
30/11,Australia - Dinamarca,18:00,Estadio Al Janoub
