FECHA,PARTIDOS,HORA LOCAL,SEDE
23/11,Bélgica - Canadá,22:00,Estadio Ahmad Bin Ali
23/11,Marruecos - Croacia,13:00,Estadio Al Bayt
27/11,Bélgica - Marruecos,16:00,Estadio Al Thumama
27/11,Canadá - Croacia,19:00,Estadio Internacional Khalifa
1/12,Bélgica - Croacia,18:00,Estadio Ahmad Bin Ali
1/12,Canadá - Marruecos,18:00,Estadio Al Thumama
