FECHA,PARTIDOS,HORA LOCAL,SEDE
22/11,Argentina - Arabia Saudita,13:00,Estadio Icónico de Lusail
22/11,México - Polonia,19:00,Estadio 974
26/11,Argentina - México,22:00,Estadio Icónico de Lusail
26/11,Arabia Saudita - Polonia,16:00,Estadio Ciudad de la Educación
30/11,Polonia - Argentina,22:00,Estado 974
30/11,Arabia Saudita - México,22:00,Estadio Icónico de Lusail
