FECHA,PARTIDOS,HORA LOCAL,SEDE
24/11,Brasil - Serbia,22:00,Estadio Icónico de Lusail
24/11,Suiza - Camerún,13:00,Estadio Al Janoub
28/11,Brasil - Suiza,19:00,Estadio 974
28/11,Serbia - Camerún,13:00,Estadio Al Janoub
2/12,Brasil - Camerún,22:00,Estadio Icónico de Lusail
2/12,Serbia - Suiza,22:00,Estadio 974
