FECHA,PARTIDOS,HORA LOCAL,SEDE
20/11,Qatar - Ecuador,19:00,Estadio Al Bayt
21/11,Senegal - Países Bajos,13:00,Estadio Al Thumama
25/11,Qatar - Senegal,18:00,Estadio Al Thumama
25/11,Ecuador - Países Bajos,19:00,Estadio Internacional Khalifa
29/ 11,Qatar - Países Bajos,18:00,Estadio Al Bayt
29/11,Ecuador - Senegal,18:00,Estadio Internacional Khalifa
