FECHA,PARTIDOS,HORA LOCAL,SEDE
23/11,España - Costa Rica,19:00,Estadio Al Thumama
23/11,Alemania - Japón,16:00,Estadio Internacional Khalifa
27/11,España - Alemania,22:00,Estadio Al Bayt
27/11,Costa Rica - Japón,13:00,Estadio Ahmad Bin Ali
1/12,España - Japón,22:00,Estadio Internacional Khalifa
1/12,Costa Rica- Alemania,22:00,Estadio Al Bayt
